Incident_case_id,Date,Clearance_code_inc_type,PGPD Reporting Area,PGPD Sector,PGPD Beat,Street_Number,Street_Address,Latitude,Longitude,Location 
PP21102000002223,10/20/2021,ACCIDENT,162,B,B6,,UNIVERSITY BLVD EB / PAINT BRANCH DR,39.00017589330673,-76.94306644797325,"(39.00017589330673, -76.94306644797325)"
PP21102000001149,10/20/2021,THEFT FROM AUTO,755,F,F7,14100 BLOCK,14149 BRANDYWINE RD,38.69669881463051,-76.84628185629845,"(38.69669881463051, -76.84628185629845)"
PP21102000001189,10/20/2021,THEFT FROM AUTO,415,H,H2,4100 BLOCK,4113 SOUTHERN AVE,38.8646774739027,-76.94536302983761,"(38.8646774739027, -76.94536302983761)"
PP21102000001581,10/20/2021,THEFT FROM AUTO,720,H,H7,8800 BLOCK,8803 POLICE PLAZA,38.82694789767265,-76.85153119266033,"(38.82694789767265, -76.85153119266033)"
PP21102000000919,10/20/2021,ACCIDENT,225,B,B3,6200 BLOCK,6253 64TH AVE,38.96539905667305,-76.90697728097439,"(38.96539905667305, -76.90697728097439)"
PP21102000001922,10/20/2021,ACCIDENT,915,C,C6,,MUIRKIRK MEADOWS DR / MUIRKIRK RD WB,39.063495978713036,-76.88893269002438,"(39.063495978713036, -76.88893269002438)"
PP21102000000001,10/20/2021,ACCIDENT,313,G,G4,300 BLOCK,300 STEVENSON LN,38.8942049741745,-76.87646552920341,"(38.8942049741745, -76.87646552920341)"
PP21102000001722,10/20/2021,ACCIDENT WITH IMPOUND,709,E,E4,,GOVERNORS GROVE RD / JOHN ROGERS BLVD NB,38.823995143175125,-76.76130828261375,"(38.823995143175125, -76.76130828261375)"
PP21102000001382,10/20/2021,ACCIDENT,911,C,C6,7300 BLOCK,7300 VAN DUSEN RD,39.08711796998978,-76.88138677179813,"(39.08711796998978, -76.88138677179813)"
PP21102000002263,10/20/2021,"AUTO, STOLEN",441,H,H2,5700 BLOCK,5756 SILVER HILL RD SB,38.85516306757927,-76.90993003547192,"(38.85516306757927, -76.90993003547192)"
PP21102000000757,10/20/2021,"AUTO, STOLEN",615,K,K6,2900 BLOCK,2927 BRINKLEY RD,38.8049663156271,-76.95848636329174,"(38.8049663156271, -76.95848636329174)"
PP21102000000068,10/20/2021,ACCIDENT WITH IMPOUND,716,E,E4,3000 BLOCK,3006 GEATON DR,38.84827330708504,-76.79936595261097,"(38.84827330708504, -76.79936595261097)"
PP21102000001071,10/20/2021,"AUTO, STOLEN",856,E,E2,2100 BLOCK,2100 TULSON LN,38.919795483350754,-76.83906403183937,"(38.919795483350754, -76.83906403183937)"
PP21102000001027,10/20/2021,THEFT,314,G,G4,7600 BLOCK,7600 BARLOWE RD,38.91815505921841,-76.87548127770424,"(38.91815505921841, -76.87548127770424)"
PP21102000002052,10/20/2021,THEFT FROM AUTO,928,C,C2,11900 BLOCK,11930 TWINLAKES DR,39.052341148257256,-76.93683286011219,"(39.052341148257256, -76.93683286011219)"
PP21102000002425,10/20/2021,"AUTO, STOLEN",441,H,H2,,MARLBORO PIKE EB / BROOKS DR NB,38.86500556766987,-76.91583552956581,"(38.86500556766987, -76.91583552956581)"
PP21102000001480,10/20/2021,THEFT,416,H,H2,5000 BLOCK,5007 LEE JAY DR,38.86566172540188,-76.91911636292934,"(38.86566172540188, -76.91911636292934)"
PP21102000000443,10/20/2021,THEFT FROM AUTO,890,D,D1,7100 BLOCK,7106 HANOVER PKWY,38.98770873248577,-76.87843403220177,"(38.98770873248577, -76.87843403220177)"
PP21102000001262,10/20/2021,THEFT,427,H,H5,,SUITLAND PKWY NB / SILVER HILL RD NB,38.84269589185715,-76.93191161751747,"(38.84269589185715, -76.93191161751747)"
PP21102000001578,10/20/2021,ACCIDENT,633,F,F4,,BLACK WILLOW CT / STUART LN,38.75509764254093,-76.88237102329731,"(38.75509764254093, -76.88237102329731)"
PP21102000002315,10/20/2021,ACCIDENT,238,B,B5,,WEST LANHAM DR / HARKINS RD,38.95227572321892,-76.87613745033741,"(38.95227572321892, -76.87613745033741)"
PP21102000001461,10/20/2021,ACCIDENT WITH IMPOUND,234,B,B4,6100 BLOCK,6120 ANNAPOLIS RD WB,38.93882431089878,-76.9118985235691,"(38.93882431089878, -76.9118985235691)"
PP21102000001016,10/20/2021,ASSAULT,728,F,F6,8000 BLOCK,8000 CROOM RD,38.7816723883152,-76.78132136166096,"(38.7816723883152, -76.78132136166096)"
PP21102000000794,10/20/2021,SEX OFFENSE,441,H,H2,,PENN CROSSING DR / PENNSYLVANIA AVE WB,38.85647539794445,-76.91419510543346,"(38.85647539794445, -76.91419510543346)"
PP21102000001607,10/20/2021,THEFT FROM AUTO,135,TRU,A2,2400 BLOCK,2400 QUEENS CHAPEL RD SB,38.947682559490204,-76.97226586937904,"(38.947682559490204, -76.97226586937904)"
PP21102000001785,10/20/2021,THEFT,843,D,D5,10400 BLOCK,10411 MARTIN LUTHER KING JUNIOR HWY EB,38.9535880535841,-76.82495644688606,"(38.9535880535841, -76.82495644688606)"
PP21102000001901,10/20/2021,ACCIDENT,617,K,K5,,ALLENTOWN RD / DODGE LN,38.79381147027016,-76.91714785993099,"(38.79381147027016, -76.91714785993099)"
PP21102000000627,10/20/2021,"AUTO, STOLEN",842,D,D6,9800 BLOCK,9800 MARTIN LUTHER KING JUNIOR HWY WB,38.95096339285374,-76.83742360770702,"(38.95096339285374, -76.83742360770702)"
PP21102000001039,10/20/2021,ACCIDENT WITH IMPOUND,839,D,D5,,WHITFIELD CHAPEL RD / ANNAPOLIS RD EB,38.963758647441864,-76.85743670165539,"(38.963758647441864, -76.85743670165539)"
PP21102000001769,10/20/2021,ACCIDENT,411,H,H3,,WALKER MILL RD EB / KAREN BLVD,38.87025488913059,-76.8879484385252,"(38.87025488913059, -76.8879484385252)"
PP21102000000852,10/20/2021,ACCIDENT WITH IMPOUND,638,W,W4,13000 BLOCK,13000 LIVINGSTON RD,38.711462557315826,-76.97685903310776,"(38.711462557315826, -76.97685903310776)"
PP21102000000892,10/20/2021,THEFT,524,J,J1,4900 BLOCK,4919 INDIAN HEAD HWY SB,38.819730058312416,-77.00179336965084,"(38.819730058312416, -77.00179336965084)"
PP21102000001311,10/20/2021,THEFT FROM AUTO,704,TRU,E5,900 BLOCK,933 HALL STATION DR,38.90273514389992,-76.73834244906902,"(38.90273514389992, -76.73834244906902)"
PP21102000001054,10/20/2021,ACCIDENT,110,A,A4,8100 BLOCK,8113 15TH AVE,38.98902106285095,-76.98112411797047,"(38.98902106285095, -76.98112411797047)"
PP21102000000913,10/20/2021,ACCIDENT WITH IMPOUND,622,F,F1,,STEED RD / PISCATAWAY RD,38.7518168091774,-76.92699036002159,"(38.7518168091774, -76.92699036002159)"
PP21102000001344,10/20/2021,ACCIDENT,238,B,B5,,ARDWICK ARDMORE RD / ANNAPOLIS RD EB,38.94801063835621,-76.88827653229237,"(38.94801063835621, -76.88827653229237)"
PP21102000001771,10/20/2021,ACCIDENT WITH IMPOUND,633,F,F4,,WOODYARD RD NB / PINE VIEW LN,38.76690864562988,-76.88893269002438,"(38.76690864562988, -76.88893269002438)"
PP21102000001888,10/20/2021,"ASSAULT, SHOOTING",511,J,J2,1500 BLOCK,1500 SOUTHVIEW DR,38.82629172503948,-76.98210836946964,"(38.82629172503948, -76.98210836946964)"
PP21102000001918,10/20/2021,THEFT FROM AUTO,313,TRU,G4,700 BLOCK,729 PALDAO TER,38.900110483169556,-76.88269911706448,"(38.900110483169556, -76.88269911706448)"
PP21102000001654,10/20/2021,THEFT FROM AUTO,505,TRU,K1,4300 BLOCK,4301 23RD PKWY SB,38.830228731036186,-76.95750211179256,"(38.830228731036186, -76.95750211179256)"
PP21102000001387,10/20/2021,THEFT FROM AUTO,932,TRU,C3,11400 BLOCK,11400 BALTIMORE AVE SB,39.040530145168304,-76.90533685684204,"(39.040530145168304, -76.90533685684204)"
PP21102000001586,10/20/2021,ACCIDENT,603,J,J5,7100 BLOCK,7103 LIVINGSTON RD,38.79217106103897,-76.98670153319836,"(38.79217106103897, -76.98670153319836)"
PP21102000001728,10/20/2021,"ROBBERY, OTHER",175,A,A5,3200 BLOCK,3214 TOLEDO PL,38.97032031416893,-76.96045486629009,"(38.97032031416893, -76.96045486629009)"
PP21102000002265,10/20/2021,ACCIDENT,404,H,H1,1200 BLOCK,1207 ADDISON RD S,38.872223392128944,-76.89582245051861,"(38.872223392128944, -76.89582245051861)"
PP21102000002222,10/20/2021,ACCIDENT,106,B,B7,,36TH AVE / METZEROTT RD,39.00148822367191,-76.94798769056797,"(39.00148822367191, -76.94798769056797)"
PP21102000000587,10/20/2021,THEFT FROM AUTO,301,G,G3,4300 BLOCK,4319 R ST,38.91257764399052,-76.93256777524948,"(38.91257764399052, -76.93256777524948)"
PP21102000000441,10/20/2021,ACCIDENT WITH IMPOUND,304,G,G3,5000 BLOCK,5007 LEROY GORHAM DR,38.90535980463028,-76.9217410236597,"(38.90535980463028, -76.9217410236597)"
PP21102000000881,10/20/2021,ACCIDENT WITH IMPOUND,441,H,H2,,PENN CROSSING DR / PENNSYLVANIA AVE WB,38.85647539794445,-76.91419510543346,"(38.85647539794445, -76.91419510543346)"
PP21102000001967,10/20/2021,ACCIDENT,105,A,A7,,ADELPHI RD NB / METZEROTT RD,39.00247247517109,-76.96537610888481,"(39.00247247517109, -76.96537610888481)"
PP21102000001965,10/20/2021,ACCIDENT WITH IMPOUND,734,F,F6,,HEATHERMORE BLVD NB / CRAIN HWY SE,38.77609497308731,-76.80002211034298,"(38.77609497308731, -76.80002211034298)"
PP21102000000257,10/20/2021,THEFT FROM AUTO,890,D,D1,7200 BLOCK,7232 HANOVER PKWY,38.988036811351776,-76.8781059384346,"(38.988036811351776, -76.8781059384346)"
PP21102000001822,10/20/2021,"AUTO, STOLEN",643,W,W1,13400 BLOCK,13412 REID CIR,38.70522898435593,-77.02213452756405,"(38.70522898435593, -77.02213452756405)"
PP21102000001286,10/20/2021,"ASSAULT, SHOOTING",826,D,D1,9600 BLOCK,9610 GOOD LUCK RD,38.981803223490715,-76.84529761970043,"(38.981803223490715, -76.84529761970043)"
PP21102000000763,10/20/2021,THEFT FROM AUTO,946,C,C2,11000 BLOCK,11008 CHERRY HILL RD SB,39.034952729940414,-76.94470685720444,"(39.034952729940414, -76.94470685720444)"
PP21102000002108,10/20/2021,THEFT,408,H,H1,,CLOVIS AVE / GUNTHER ST,38.87681655585766,-76.92633420228958,"(38.87681655585766, -76.92633420228958)"
PP21102000001520,10/20/2021,THEFT FROM AUTO,501,TRU,K2,3500 BLOCK,3503 28TH PKWY,38.84236781299114,-76.95618978142738,"(38.84236781299114, -76.95618978142738)"
PP21102000001794,10/20/2021,"AUTO, STOLEN",202,B,B7,9900 BLOCK,9901 RHODE ISLAND AVE,39.015923887491226,-76.92075677216053,"(39.015923887491226, -76.92075677216053)"
PP21102000002360,10/20/2021,"AUTO, STOLEN",444,H,H4,5400 BLOCK,5401 SILVER HILL RD NB,38.85155414044857,-76.91386702656746,"(38.85155414044857, -76.91386702656746)"
PP21102000000516,10/20/2021,THEFT FROM AUTO,135,A,A2,2400 BLOCK,2400 QUEENS CHAPEL RD SB,38.947682559490204,-76.97226586937904,"(38.947682559490204, -76.97226586937904)"
PP21102000001864,10/20/2021,ACCIDENT WITH IMPOUND,255,B,B2,,KENILWORTH AVE SB / BALTIMORE WASHINGTON PKWY NB,38.926685228943825,-76.92830269038677,"(38.926685228943825, -76.92830269038677)"
PP21102000001754,10/20/2021,ACCIDENT,413,H,H7,1600 BLOCK,1681 RITCHIE STATION CT,38.8682864010334,-76.85251544415951,"(38.8682864010334, -76.85251544415951)"
PP21102000002071,10/20/2021,ACCIDENT,904,C,C5,13500 BLOCK,13504 ATTLEBORO CT,39.07563506066799,-76.8521873652935,"(39.07563506066799, -76.8521873652935)"
PP21102000000417,10/20/2021,ACCIDENT WITH IMPOUND,609,J,J4,,OXON HILL RD / NOTLEY RD,38.77051755785942,-77.00573036074638,"(38.77051755785942, -77.00573036074638)"
PP21102000001376,10/20/2021,ACCIDENT,516,J,J1,5400 BLOCK,5406 INDIAN HEAD HWY NB,38.81644922494888,-76.99818444252014,"(38.81644922494888, -76.99818444252014)"
PP21102100000662,10/21/2021,THEFT,754,F,F7,14800 BLOCK,14807 RING HOUSE RD,38.68751247227192,-76.87088811397552,"(38.68751247227192, -76.87088811397552)"
PP21102100000622,10/21/2021,ACCIDENT WITH IMPOUND,711,E,E5,4600 BLOCK,4610 LARGO RD,38.82563556730747,-76.7491692006588,"(38.82563556730747, -76.7491692006588)"
PP21102100001527,10/21/2021,ACCIDENT WITH IMPOUND,910,C,C6,,KONTERRA DR / I95 HWY NB,39.085149481892586,-76.89647860825062,"(39.085149481892586, -76.89647860825062)"
PP21102100000361,10/21/2021,ACCIDENT WITH IMPOUND,612,J,J6,1000 BLOCK,1000 PALMER RD,38.76658056676388,-76.99129469692707,"(38.76658056676388, -76.99129469692707)"
PP21102100001043,10/21/2021,THEFT FROM AUTO,703,E,E5,13100 BLOCK,13109 EDDINGTON DR,38.88764330744743,-76.77836860716343,"(38.88764330744743, -76.77836860716343)"
PP21102100001497,10/21/2021,THEFT FROM AUTO,826,TRU,D1,9500 BLOCK,9503 NORDIC DR,38.98475597798824,-76.84759420156479,"(38.98475597798824, -76.84759420156479)"
PP21102100000464,10/21/2021,ACCIDENT,859,E,E2,,BELFRY LN / MILLERS TER,38.91881123185158,-76.81216119229794,"(38.91881123185158, -76.81216119229794)"
PP21102100001401,10/21/2021,ASSAULT,316,G,G5,2500 BLOCK,2500 KENMOOR DR,38.925372898578644,-76.86760728061199,"(38.925372898578644, -76.86760728061199)"
PP21102100002009,10/21/2021,ACCIDENT,441,H,H2,2000 BLOCK,2020 BROOKS DR NB,38.86336514353752,-76.91649170219898,"(38.86336514353752, -76.91649170219898)"
PP21102100000401,10/21/2021,"AUTO, STOLEN",238,B,B5,7700 BLOCK,7730 HARKINS RD,38.952603816986084,-76.87416894733906,"(38.952603816986084, -76.87416894733906)"
PP21102100000400,10/21/2021,THEFT FROM AUTO,278,B,B12,6200 BLOCK,6205 ANNAPOLIS RD EB,38.93816813826561,-76.91025811433792,"(38.93816813826561, -76.91025811433792)"
PP21102100002193,10/21/2021,ACCIDENT,508,K,K3,4700 BLOCK,4700 23RD PKWY NB,38.825307473540306,-76.95618978142738,"(38.825307473540306, -76.95618978142738)"
PP21102100001993,10/21/2021,ACCIDENT,159,B,B7,,HOLLYWOOD RD / BALTIMORE AVE NB,39.01133072376251,-76.92830269038677,"(39.01133072376251, -76.92830269038677)"
PP21102100001525,10/21/2021,THEFT FROM AUTO,175,A,A5,6900 BLOCK,6902 HIGHVIEW TER,38.9732730537653,-76.96307952702045,"(38.9732730537653, -76.96307952702045)"
PP21102100000527,10/21/2021,THEFT FROM AUTO,428,K,K4,4400 BLOCK,4401 RENA RD,38.83055680990219,-76.87941828370094,"(38.83055680990219, -76.87941828370094)"
PP21102100000823,10/21/2021,ACCIDENT,733,F,F5,7300 BLOCK,7300 WOODYARD RD,38.78856214880943,-76.84037636220455,"(38.78856214880943, -76.84037636220455)"
PP21102100001303,10/21/2021,ACCIDENT,248,B,B1,,COOPER LN / WARNER AVE,38.94046472012997,-76.9017279446125,"(38.94046472012997, -76.9017279446125)"
PP21102100002433,10/21/2021,ACCIDENT WITH IMPOUND,236,B,B4,,VETERANS PKWY NB / RIVERDALE RD EB,38.9634305536747,-76.90008753538132,"(38.9634305536747, -76.90008753538132)"
PP21102100000912,10/21/2021,"AUTO, STOLEN",304,G,G3,5300 BLOCK,5380 SHERIFF RD WB,38.90535980463028,-76.917475938797,"(38.90535980463028, -76.917475938797)"
PP21102100001715,10/21/2021,ACCIDENT WITH IMPOUND,124,A,A3,6600 BLOCK,6600 RIGGS RD SB,38.969992220401764,-76.98309260606766,"(38.969992220401764, -76.98309260606766)"
PP21102100002442,10/21/2021,ACCIDENT,501,K,K2,2300 BLOCK,2336 IVERSON ST WB,38.83416572213173,-76.95881444215775,"(38.83416572213173, -76.95881444215775)"
PP21102100000428,10/21/2021,ACCIDENT WITH IMPOUND,654,W,W3,,PINE LN / INDIAN HEAD HWY NB,38.65798497200012,-77.02607153356075,"(38.65798497200012, -77.02607153356075)"
PP21102100001297,10/21/2021,THEFT FROM AUTO,603,TRU,J5,6400 BLOCK,6400 CLIPPER WAY,38.79938890039921,-76.99391935765743,"(38.79938890039921, -76.99391935765743)"
PP21102100002011,10/21/2021,"B & E, RESIDENTIAL",131,A,A2,1500 BLOCK,1514 CHILLUM RD WB,38.95654080808163,-76.98309260606766,"(38.95654080808163, -76.98309260606766)"
PP21102100001343,10/21/2021,ACCIDENT,236,B,B4,7200 BLOCK,7205 POWHATAN ST,38.9575250595808,-76.88893269002438,"(38.9575250595808, -76.88893269002438)"
PP21102100001535,10/21/2021,ACCIDENT,502,K,K2,3100 BLOCK,3101 BRANCH AVE SB,38.85089798271656,-76.9568459391594,"(38.85089798271656, -76.9568459391594)"
PP21102100002107,10/21/2021,ACCIDENT,135,A,A2,,CHILLUM RD EB / 16TH AVE,38.95588465034962,-76.98210836946964,"(38.95588465034962, -76.98210836946964)"
PP21102100000716,10/21/2021,ACCIDENT,205,B,B7,,GREENBELT RD EB / BALTIMORE AVE NB,38.998535484075546,-76.9315835237503,"(38.998535484075546, -76.9315835237503)"
PP21102100002283,10/21/2021,ACCIDENT WITH IMPOUND,609,J,J4,8700 BLOCK,8705 OXON HILL RD,38.770189478993416,-77.00573036074638,"(38.770189478993416, -77.00573036074638)"
PP21102100001977,10/21/2021,ACCIDENT,650,W,W3,16100 BLOCK,16111 LIVINGSTON RD,38.671108305454254,-77.02639961242676,"(38.671108305454254, -77.02639961242676)"
